90,-9998	0.42
133,-10186	0.29412
183,-10102	0.28922
233,-10159	0.275
283,-10231	0.36207
333,-10215	0.26389
383,-10232	0.45494
433,-10095	0.44792
483,-10175	0.27841
533,-10183	0.4837
583,-10254	0.03922
633,-10180	0.26519
683,-10100	0.41584
733,-10197	0.23737
783,-10172	0.3237
833,-10133	0.23134
883,-10218	0.17808
933,-10253	0.21972
983,-10300	0.17413
1033,-10326	0.17125
1083,-10245	0.19106
1133,-10285	0.18182
1183,-10120	0.23967
1233,-10235	0.28487
1283,-10131	0.15909
1333,-10197	0.22742
1383,-10154	0.23226
1433,-10195	0.28061
1483,-10163	0.2439
1533,-10139	0.34855
1583,-10169	0.40588
1633,-10133	0.18155
1683,-10301	0.2351
1733,-10125	0.30952
1783,-10123	0.18548
1833,-10130	0.15267
1883,-10146	0.21769
1933,-10242	0.19753
1983,-10109	0.14545
2033,-10102	0.15534
2083,-10278	0.23656
2133,-10192	0.08808
2183,-10183	0.41304
2233,-10214	0.12093
2283,-10131	0.12121
2333,-10067	0.19118
2383,-10262	0.0467
2433,-10110	0.11712
2483,-10136	0.32847
2533,-10194	0.03041
2583,-10088	0.07895
2633,-10105	0.11321
2683,-9908	0.17891
2733,-10107	0.01914
2783,-10190	0.10471
2833,-10187	0.09043
2883,-10163	0.14634
2933,-10105	0.16038
2983,-10103	0.06829
3033,-10174	0.10286
3083,-10146	0.06803
3133,-10236	0.03254
3183,-10144	0.0
3233,-10226	0.00881
3283,-10183	0.03509
3333,-9982	0.0
3383,-10189	0.0
3433,-10248	0.08434
3483,-10084	0.01176
3533,-10077	0.02564
3583,-10234	0.0766
3633,-10165	0.0
3683,-10152	0.01307
3733,-10139	0.0249
3783,-10098	0.0
3833,-10048	0.0
3883,-10141	0.0
3933,-10149	0.0
3983,-10097	0.02041
4033,-10055	0.16071
4083,-10081	0.03659
4133,-10100	0.0099
4183,-10066	0.02162
4233,-10151	0.0
4283,-10134	0.0
4333,-10052	0.02597
4383,-10108	0.0367
4433,-10112	0.0
4483,-10083	0.02381
4533,-10099	0.01
4583,-10049	0.0
4633,-10405	0.05128
4683,-10174	0.01714
4733,-10130	0.00763
4783,-10143	0.04861
4833,-10221	0.01802
4883,-10045	0.0
4933,-10066	0.05952
4983,-10148	0.0
5033,-9993	0.04714
5083,-10075	0.0
5133,-10126	0.0
5183,-10106	0.00935
5233,-10137	0.00418
5283,-9978	0.0375
5333,-10172	0.0
5383,-10244	0.0
5433,-10202	0.01478
5483,-10006	0.0
5533,-10120	0.0
5583,-10090	0.0
5633,-10265	0.0
5683,-9713	0.04688
5733,-10094	0.0
5783,-10182	0.02186
5833,-10138	0.0
5883,-10130	0.0229
5933,-10298	0.00334
5983,-10124	0.104
6033,-10283	0.0
6083,-10180	0.0
6133,-10089	0.0
6183,-10201	0.00495
6233,-10017	0.05042
6283,-10194	0.02564
6333,-10192	0.00253
6383,-10086	0.13298
6433,-10129	0.0
6483,-10071	0.0
6533,-10183	0.04891
6583,-10027	0.0
6633,-10209	0.0
6683,-10108	0.0
6733,-10088	0.0
6783,-10144	0.06207
6833,-10252	0.0
6883,-10258	0.03475
6933,-10188	0.11724
6983,-10132	0.01791
7033,-10102	0.03883
7083,-10347	0.0
7133,-10368	0.00271
7183,-10134	0.0
7233,-10172	0.0
7283,-10105	0.00483
7333,-10362	0.0
7383,-10173	0.02182
7433,-10184	0.14054
7483,-10332	0.0
7533,-10167	0.02381
7583,-10269	0.0
7633,-10215	0.00463
7683,-10182	0.0
7733,-10138	0.0
7783,-10124	0.04867
7833,-10191	0.00683
7883,-10182	0.03825
7933,-10186	0.0
7983,-10108	0.0
8033,-10204	0.0
8083,-10272	0.0
8133,-10166	0.15569
8183,-10268	0.0
8233,-10159	0.0
8283,-10008	0.0
8333,-10353	0.0
8383,-10201	0.06436
8433,-10236	0.0
8483,-10236	0.0
8533,-10073	0.01351
8583,-10119	0.0
8633,-10149	0.0
8683,-10135	0.0
8733,-10188	0.0
8783,-10193	0.0
8833,-10064	0.0
8883,-10077	0.0
8933,-10267	0.06343
8983,-10153	0.0
9033,-10135	0.03676
9083,-10136	0.0
9133,-10247	0.0
9183,-10195	0.0
9233,-10144	0.0
9283,-10200	0.0
9333,-10153	0.04545
9383,-10217	0.00238
9433,-10264	0.0
9483,-10212	0.02347
9533,-10282	0.0
9583,-10154	0.0
9633,-10267	0.0
9683,-10176	0.0
9733,-10134	0.0
9783,-10252	0.0
9833,-10263	0.0
9883,-10245	0.02017
9933,-10153	0.0
9983,-9297	0.0
10033,-10060	0.0
10083,-9922	0.00189
10133,-10240	0.0
10183,-10265	0.0
10233,-10218	0.0
10283,-10273	0.0
10333,-10207	0.0
10383,-10133	0.02239
10433,-10142	0.08392
10483,-10245	0.05764
10533,-10104	0.01905
10583,-10122	0.0
10633,-10248	0.0
10683,-10157	0.0
10733,-10117	0.0
10783,-10082	0.0
10833,-10132	0.0
10883,-10275	0.0
10933,-10332	0.02995
10983,-10171	0.0
11033,-9983	0.0
11083,-10146	0.08163
